TLA NAME,CRASH ROAD,CRASH DIST,CRASH DIRN,INTSN,SIDE ROAD,CRASH ID,CRASH DATE,CRASH DOW,CRASH TIME,MVMT,VEHICLES,CAUSES,OBJECTS STRUCK,ROAD CURVE,ROAD WET,LIGHT,WTHRa,JUNC TYPE,TRAF CTRL,ROAD MARK,SPD LIM,CRASH FATAL CNT,CRASH SEV CNT,CRASH MIN CNT,PERS AGE1,PERS AGE2,EASTING,NORTHING,latitude,longitude
Wellington City,ADELAIDE ROAD,, ,I,OXFORD ST,2053113,3/07/00,Mon,1430,KB,CN1C,302B ,,R,W,O ,L ,T,G,P,50,0,0,0,,,1748946,5426053,-41.3032389,174.779168
Wellington City,ADELAIDE ROAD,, ,I,PALM GROVE,2051220,3/02/00,Thu,125,CB,CS1,410A ,P,R,D,DO,F ,T,N,L,50,0,0,0,,,1748586,5424250,-41.31953843,174.7753102
Wellington City,ADELAIDE ROAD,, ,I,RIDDIFORD ST,2011135,29/01/00,Sat,2100,FE,CN1C,103A 331A 358A ,,R,W,TO,L ,X,T,C,50,0,0,3,,,1748832,5425608,-41.30726645,174.7779157
Wellington City,ADELAIDE ROAD,60,S, ,RUGBY ST,2055307,8/11/00,Wed,1645,EA,BN1M,129A 446B ,M,R,D,B ,F , ,N,C,50,0,0,0,,,1748990,5426226,-41.30167318,174.7796509
Wellington City,ADELAIDE ROAD,80,S, ,RUGBY ST,2054756,22/09/00,Fri,305,JA,CS1C,377A 839 922 ,,R,D,B ,F ,D, ,C,50,0,0,0,,,1748985,5426207,-41.30184517,174.7795959
Wellington City,ADELAIDE ROAD,80,S, ,RUGBY ST,2052970,30/05/00,Tue,1120,MC,CN1V,372A ,,R,W,O ,L , ,N,C,50,0,0,0,,,1748985,5426207,-41.30184517,174.7795959
Wellington City,ADELAIDE ROAD,40,N, ,STOKE ST,2012061,4/07/00,Tue,830,JA,CS1C,308A 839 929 ,C,R,W,O ,L ,D,N,C,50,0,0,1,,,1748660,5424922,-41.31347451,174.7760297
Wellington City,ADELAIDE ROAD,, ,I,STOKE ST,2052068,29/04/00,Sat,50,JA,CS1C,103B 301B ,,R,D,DO,F ,T,S,C,50,0,0,0,,,1748646,5424867,-41.31397228,174.7758759
Wellington City,ADELAIDE ROAD,, ,I,WARIPORI ST,2054392,22/09/00,Fri,1950,JA,VN1C,303B ,,R,D,DO,F ,T,N,C,50,0,0,0,,,1748591,5424338,-41.31874521,174.7753484
Wellington City,ALEXANDRA ROAD,400,S, ,ALEXANDRA LOOKOUT ROAD,2051176,26/03/00,Sun,130,DB,CN1,111A 403A ,C,M,W,DN,F , ,N,C,50,0,0,0,,,1749913,5426315,-41.30070094,174.7906489
Wellington City,ALEXANDRA ROAD,700,S, ,ALEXANDRA LOOKOUT ROAD,2054754,20/09/00,Wed,2159,DA,CS1,111A 403A 692A ,C,M,D,DN,F , ,N,C,50,0,0,0,,,1749778,5426068,-41.30294984,174.7890979
Wellington City,ALEXANDRA ROAD,100,N, ,CONSTABLE ST,2054714,30/07/00,Sun,2050,DA,CN1,111A 517A ,,M,D,DO,F , ,N,C,50,0,0,0,,,1749746,5425047,-41.3121482,174.7889672
Wellington City,ALEXANDRA ROAD,800,N, ,CRAWFORD ROAD,2055302,17/11/00,Fri,2245,DA,CS1,111A ,E,M,D,DO,FS, ,N,C,50,0,0,0,,,1749730,5425685,-41.30640703,174.7886191
Wellington City,ALLEN ST,20,N, ,COURTENAY PLACE,2055366,5/12/00,Tue,1130,EA,CS1T,423A ,M,R,D,B ,F , ,N,N,50,0,0,0,,,1749217,5427125,-41.29353718,174.7821407
Wellington City,ALLEN ST,50,S, ,WAKEFIELD ST,2055744,31/12/00,Sun,350,MO,VW1C,371A ,M,R,D,DO,F , ,N,N,50,0,0,0,,,1749251,5427202,-41.29283763,174.7825278
Wellington City,ALLINGTON ROAD,, ,I,THURLEIGH GROVE,2055422,9/12/00,Sat,1230,DA,CW1,103A 111A ,P,E,W,DO,L ,T,N,C,50,0,0,0,,,1744114,5427676,-41.2895034,174.7210906
Wellington City,ANTHONY ST,40,E, ,BELL ST,2012714,24/11/00,Fri,2000,PA,CW1H,308B 722B ,,M,D,TF,F , ,N,N,50,0,1,0,8,,1754103,5442783,-41.15164637,174.8365178
Wellington City,AOTEA ON NBD,50,W, ,SH 1N,2055399,27/10/00,Fri,1155,FD,CE1CC,331A ,,E,D,O ,F , ,N,N,100,0,0,0,,,1749745,5430517,-41.26289984,174.7876101
Wellington City,AOTEA QUAY,, ,I,AOTEA OFF SBD,2050860,4/03/00,Sat,1130,MC,VS1C,202B 303B ,,R,D,B ,F ,Y,N,C,70,0,0,0,,,1749561,5430076,-41.26690443,174.7855228
Wellington City,AOTEA QUAY,, ,I,AOTEA OFF SBD,2053131,24/07/00,Mon,1400,MC,CS1V,202B 372B ,,R,D,B ,F ,Y,N,L,70,0,0,0,,,1749561,5430076,-41.26690443,174.7855228
Wellington City,AOTEA QUAY,, ,I,AOTEA OFF SBD,2054954,31/10/00,Tue,2005,MC,CS1C,202B 372B ,,R,W,DO,L ,Y,N,L,70,0,0,0,,,1749561,5430076,-41.26690443,174.7855228
Wellington City,AOTEA QUAY,, ,I,AOTEA OFF SBD,2012065,15/06/00,Thu,2250,MC,CS1C,202B 372B 414B ,,R,D,DO,F ,Y,M,C,70,0,1,2,,,1749561,5430076,-41.26690443,174.7855228
Wellington City,AOTEA QUAY,50,N, ,AOTEA ON NBD,2054272,3/08/00,Thu,1730,AC,CS1C,372A ,,M,D,TO,F , ,N,R,70,0,0,0,,,1749535,5430170,-41.26606292,174.7851895
Wellington City,AOTEA QUAY,350,S, ,AOTEA ON NBD,2056202,11/12/00,Mon,1705,AG,CE1CV,177A 372A 181B 191C ,,R,D,O ,F , ,N,R,70,0,0,0,,,1749618,5429780,-41.2695589,174.7862756
Wellington City,AOTEA QUAY,, ,I,AOTEA ON NBD,2054744,2/09/00,Sat,2045,DA,MN1,133A 690A 807 ,,E,W,DO,L ,Y,G,R,70,0,0,0,,,1749546,5430121,-41.26650206,174.7853328
Wellington City,AOTEA QUAY,, ,I,FERRY TERMINAL ACCESS ROA,2052237,29/04/00,Sat,1720,FB,VS2C,331A ,,R,D,O ,F ,Y,G,C,70,0,0,0,,,1749545,5430179,-41.26598004,174.7853066
Wellington City,AOTEA QUAY,, ,A,WATERLOO QUAY,2051394,9/03/00,Thu,1320,DA,CS1,410A ,S,M,D,B ,F , ,N,C,50,0,0,0,,,1749678,5429335,-41.2735543,174.7871009
Wellington City,ARAWA ROAD,, ,I,HOHIRIA ROAD,2050795,23/02/00,Wed,750,JA,CW1C,302B ,,E,D,B ,F ,T,G,P,50,0,0,0,,,1750790,5426528,-41.29861983,174.8010666
Wellington City,ARLINGTON ST,30,W, ,HOPPER ST,2053112,29/06/00,Thu,1505,MO,TW1C,371A ,M,R,D,OF,F , ,N,N,50,0,0,0,,,1748464,5426479,-41.29949226,174.7733092
Wellington City,ARO ST,20,E, ,DEVON ST,2053191,25/07/00,Tue,1040,MC,CW1C,372A ,,E,D,B ,F , ,N,C,50,0,0,0,,,1747929,5426951,-41.29534087,174.7668071
