TLA NAME,CRASH ROAD,CRASH DIST,CRASH DIRN,INTSN,SIDE ROAD,CRASH ID,CRASH DATE,CRASH DOW,CRASH TIME,MVMT,VEHICLES,CAUSES,OBJECTS STRUCK,ROAD CURVE,ROAD WET,LIGHT,WTHRa,JUNC TYPE,TRAF CTRL,ROAD MARK,SPD LIM,CRASH FATAL CNT,CRASH SEV CNT,CRASH MIN CNT,PERS AGE1,PERS AGE2,EASTING,NORTHING,latitude,longitude
Wellington City,AOTEA QUAY,100,S, ,SH 1N,201531775,21/01/15,Wed,1630,JA,CN1C,302B 302 927 ,,R,D,B ,F ,D,G,C,70,0,0,0,,,1749559,5430088,-41.26679676,174.785496
Wellington City,CORTINA AVENUE,30,N, ,BRODERICK ROAD,201531122,21/01/15,Wed,1800,EA,CS1C,386A ,M,R,D,B ,F , ,N,C,50,0,0,0,,,1750752,5434839,-41.22379987,174.7985582
Wellington City,SUTHERLAND ROAD,60,N, ,HORNSEY ROAD,201510402,21/01/15,Wed,1720,BB,CN1C,101A 111A 123A ,CTC,M,D,B ,F , ,N,N,50,0,0,1,,,1749732,5423776,-41.32359405,174.789113
Wellington City,1N/1068/3.613,10,N, ,MURPHY OFF SBD,201510409,21/01/15,Wed,813,FD,CS1C,181A 330A ,,R,D,B ,F ,T,N,C,80,0,0,1,,,1749099,5429683,-41.27052819,174.7801059
Wellington City,ELLICE ST,, ,I,HANIA ST,201510412,22/01/15,Thu,830,KC,SW1M,302A 315A ,,R,D,B ,F ,X,G,R,50,0,1,0,,25,1749170,5426423,-41.29986626,174.7817517
Wellington City,MARK AVENUE,100,W, ,GUADELOUPE CRESCENT E,201530043,22/01/15,Thu,726,EA,CW1C,129A 350A ,M,R,D,B ,F , ,N,C,50,0,0,0,,,1752772,5436682,-41.20682785,174.8221856
Wellington City,NORTHLAND ROAD,, ,I,GARDEN ROAD W,201530053,22/01/15,Thu,1828,MG,CE1C,371B ,,R,D,B ,F ,T,G,C,50,0,0,0,,,1747185,5428305,-41.2832861,174.7575978
Wellington City,BOWEN ST,, ,I,LAMBTON QUAY,201531910,23/01/15,Fri,1240,HA,CW1C,322A ,,E, , F,  ,X,T,N,50,0,0,0,,,1748819,5428688,-41.27953827,174.7770076
Wellington City,ONEPU ROAD,, ,I,WHA ST,201530045,24/01/15,Sat,1805,JA,CN1CC,302B 375B ,M,R,D,B ,F ,T,G,C,50,0,0,0,,,1750249,5423522,-41.32578472,174.7953504
Wellington City,BASSETT ROAD,, ,I,IRONSIDE ROAD,201530077,25/01/15,Sun,1038,JC,CS1C,302B 375B ,,M,D,B ,F ,T,G,C,50,0,0,0,,,1751500,5435219,-41.22023887,174.8073838
Wellington City,CHILDERS TERRACE,15,S, ,CRAWFORD ROAD,201510524,25/01/15,Sun,1426,NB,CS1E,713B ,,E,D,B ,F , , ,X,50,0,0,1,12,,1750109,5424417,-41.31775283,174.7934573
Wellington City,TORY ST,10,S, ,COURTENAY PLACE,201530075,25/01/15,Sun,1215,MO,VN1C,371A 927 ,,E,D,B ,F ,D,N,N,50,0,0,0,,,1749132,5427129,-41.29351687,174.7811251
Wellington City,SHELLY BAY ROAD,1000,N, ,MIRAMAR AVENUE,201530099,27/01/15,Tue,1230,DB,CS1,131A 386A ,S,E,D,B ,F , ,N,C,80,0,0,0,,,1751915,5425681,-41.30603459,174.8147088
Wellington City,STAFFORD ST,50,E, ,PORT ST,201530447,27/01/15,Tue,,EA,CW1C,386A ,M,R,D,B ,F , ,N,N,50,0,0,0,,,1749853,5426933,-41.295148,174.7897804
Wellington City,DIXON ST,5,N, ,WILLIS ST,201530449,28/01/15,Wed,1500,EA,CN1V,386A ,M,R,D,B ,F ,X,G,C,50,0,0,0,,,1748515,5427441,-41.29082156,174.7736833
Wellington City,FURLONG CRESCENT,40,S, ,HUXLEY GROVE,201531757,29/01/15,Thu,1330,CA,CS1C,130A 354A ,M,R,D,B ,F , , ,C,50,0,0,0,,,1751019,5436232,-41.21120829,174.8013979
Wellington City,MIDDLETON ROAD,100,N, ,ROWELLS ROAD,201510527,29/01/15,Thu,620,DB,SS1C,198A 515B ,EFY,E,D,B ,F , , ,C,50,0,0,1,,39,1752501,5437181,-41.20238626,174.8188304
Wellington City,MOLESWORTH ST,50,N, ,MAY ST,201531834,29/01/15,Thu,1445,MO,CN1,133A 420A ,X,R,D,B ,F , , ,C,50,0,0,0,,,1748911,5429392,-41.27318287,174.7779335
Wellington City,GRAFTON ROAD,120,S, ,PALLISER ROAD,201530768,30/01/15,Fri,1850,BC,CS1C,121A 111B 137B ,C,E,D,B ,F , ,N,C,50,0,0,0,,,1750778,5427031,-41.29409341,174.8007987
Wellington City,HUTT ROAD,20,N, ,SCHOOL ROAD,201510136,30/01/15,Fri,1745,FE,SN1C,181A 191B ,,R,D,B ,F ,T,T,C,50,0,0,1,,51,1749907,5430789,-41.26042087,174.7894763
Wellington City,KARORI ROAD,200,N, ,ALLINGTON ROAD,201531763,30/01/15,Fri,2325,EA,CS1C,129A ,M,E,D,DO,F , , ,C,50,0,0,0,,,1744404,5427897,-41.28746176,174.7245
Wellington City,1N/1068/4.374,100,S, ,HAWKESTONE OBR,201531754,30/01/15,Fri,1721,FD,CS1C,181A ,,R,D,B ,F , , ,N,100,0,0,0,,,1748574,5429136,-41.27554982,174.7739742
Wellington City,KARORI ROAD,, ,I,DONALD ST,201530769,31/01/15,Sat,1753,FE,CW1C,181A 330A ,,E,D,B ,F ,T,T,C,50,0,0,0,,,1745859,5428309,-41.2834907,174.7417696
Wellington City,OHARIU VALLEY ROAD,, ,I,MCLINTOCK ST NORTH,201531767,31/01/15,Sat,1035,HA,CW1C,316B ,,M,D,O ,F ,T,G,C,50,0,0,0,,,1750521,5435812,-41.2150825,174.7955638
Wellington City,RUSKIN ROAD,100,N, ,ALWYN PLACE,201531636,31/01/15,Sat,1000,MO,CN1V,371A 929 ,M,E,D,O ,F ,D, ,C,50,0,0,0,,,1752296,5434596,-41.22569854,174.8170307
Wellington City,BRITOMART ST,, ,I,STANLEY ST,201532021,1/02/15,Sun,1420,LB,CE1C,303B ,,R,D,O ,F ,X,G,C,50,0,0,0,,,1748362,5424136,-41.32060607,174.7726629
Wellington City,CHAYTOR ST,100,E, ,KARORI ROAD,201531768,1/02/15,Sun,1855,DA,CE1,131A 801 ,F,M,W,O ,L , , ,C,50,0,0,0,,,1746722,5428517,-41.2814616,174.7520203
Wellington City,1N/1050/9.761,200,N, ,TAKAPU RD UPASS NBD,201510534,2/02/15,Mon,1700,DB,MN1,132A ,G,E,W,O ,F , , ,C,100,0,0,1,,,1753593,5439213,-41.18388511,174.8313379
Wellington City,COUTTS ST,10,W, ,TE WHITI ST,201531836,3/02/15,Tue,1936,EA,CE1CCC,130A 359A ,M,R,D,B ,F ,T,G,C,50,0,0,0,,,1750642,5424047,-41.32098466,174.7999141
Wellington City,MAIDA VALE ROAD,500,N, ,EVANS BAY PARADE,201510529,3/02/15,Tue,1028,BB,CS1C,205A ,,M,D,B ,F , , ,C,50,0,0,1,,,1750938,5427550,-41.28939078,174.8025801
Wellington City,SALEK ST,, ,I,COUTTS ST,201531761,3/02/15,Tue,1112,FB,VS1C,181A ,,R,D,B ,F ,T,G,P,50,0,0,0,,,1750737,5424021,-41.32120099,174.8010551
Wellington City,BOULCOTT SLIP,, ,I,THE TERRACE,201532023,4/02/15,Wed,1300,AC,PS1C,372A ,,E,D,B ,F ,T,N,C,50,0,0,0,,,1748544,5428065,-41.28519806,174.7738773
Wellington City,TAKAPU ROAD,, ,I,WILLIAM EARP PLACE,201531770,4/02/15,Wed,2017,DC,CW1,131A ,IT,E,D,TO,FS,R,G,R,50,0,0,0,,,1753461,5439046,-41.18541368,174.8298067
Wellington City,WAKEFIELD ST,, ,I,BLAIR ST,201510707,4/02/15,Wed,1735,NA,SW1E,717B 718B ,,R,D,B ,F ,T,T,X,50,0,0,2,,39,1749336,5427217,-41.29268686,174.7835388
Wellington City,1N/1068/4.667,50,N, ,TERRACE OFF SBD,201510408,5/02/15,Thu,1520,FD,CS1CC,112A 331A ,,R,D,B ,F , ,N,C,80,0,0,1,,,1748523,5428852,-41.27811619,174.7734347
Wellington City,WALLACE ST,40,S, ,ROLLESTON ST,201530750,6/02/15,Fri,1857,FA,CS1C,103A 351A ,,E,D,B ,F , ,N,R,50,0,0,0,,,1748569,5426100,-41.30288524,174.7746553
